,Year,Area,H+,Temperature,logfO2,HCO3-,SiO2,F-,Cl-,Br-,SO4-2,NO2-,NO3-,Li+,Na+,NH4+,K+,Mg+2,Ca+2,Fe+2,HS-
,,,pH,degC,logfO2,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality,Molality
120116S,,,11.4,29.5,-6,0.0000819,0.00000223,2.63E-08,0.004578294,0.000000645,0.00000438,0.000000386,2.74E-05,0.00000337,0.005607993,1.35E-05,0.00012892,0.00000454,0.0017,,0.00000384
120118Y,,,11.5,32.5,-6,0.000117316,0.00000236,,0.006796277,0.00000127,0.00000218,,4.84E-05,0.0000056,0.00924308,9.57E-05,0.000188388,0.00000102,0.00188,,0.00000544
090116H,,,11.5,24.5,-6,0.000570088,0.0000278,,0.010627754,4.44E-06,4.65E-05,,4.19E-05,0.00000245,0.012995259,,0.000281184,0.000000868,0.000301896,,
090118O,,,11.5,30.3,-6,0.000125686,0.0000113,,0.007563084,6.12E-06,6.83E-06,,,0.000000951,0.008093687,,0.000220966,0.00000182,0.001067864,,
140113P,,,11.5,25.9,-6,0.0000463,0.00000194,,0.0079,0.00000568,0.00000782,0.000000774,0.00000347,0.00000179,0.00953,0.0000292,0.00025,0.00000128,0.00203,0.0000156,0.00000197
100108P,,,11.5,23.3,-6,0.0000642,0.00000748,,0.007915344,,0.0000342,,,0.0000154,0.009605941,,0.000212955,0.0000153,0.000557747,,
090115A,,,11.5,29.1,-6,0.000102028,0.0000219,,0.008261563,4.42E-06,1.19E-05,,7.85E-05,0.00000461,0.009655686,2.57E-05,0.000252134,0.0000347,0.002070858,,
140117F,,,11.5,26.2,-6,0.0000289,0.00000265,,0.00535,0.00000312,0.00000364,0.000000058,0.000000436,0.0000027,0.00641,0.0000183,0.000153,0.00000194,0.00185,0.000012,0.00000472
140117H,,,11.5,29.6,-6,0.0000288,0.00000166,,0.00577,0.0000037,0.00000158,,0.00000011,0.00000259,0.00714,0.0000235,0.000155,0.00000104,0.00208,0.0000131,0.00000547
140117K,,,11.5,27.4,-6,0.000032,0.00000226,,0.00576,0.00000377,0.00000158,,9.27E-08,0.00000258,0.00716,0.0000213,0.000156,0.00000148,0.00208,0.0000109,0.00000316
